Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данькевич,Ольга,Сергіївна,Жіноча,28-06-1986,Клоун,село Жданівка,"шосе Немировича-Данченка, буд. 971 кв. 08, Жмеринка, 52158",+380 73 080 68 34,shvachkoprokhir@example.org
Жук,Феофан,Дмитрович,Чоловіча,07-07-1942,Намотувальник,хутір Жидачів,"шосе Троїцька, буд. 072 кв. 8, Новоград-Волинський, 25682",+380 46 704-82-61,opanasnazarenko@example.com
Пилипенко,Гаврило,Максимович,Чоловіча,08-04-1956,Гицель,хутір Сокологірськ,"проспект Одеської громади, буд. 818, Пустомити, 65698",+380 60 406 20 59,ishchakolha@example.com
Баранець,Віктор,Олександрович,Чоловіча,25-08-1970,Стропальник,хутір Прилуки,"проспект Джевецького, буд. 8 кв. 35, Кодима, 40640",860-87-94,edytashvaika@example.net
Вдовенко,Євген,Григорович,Чоловіча,05-11-1943,Хімік,село Чернівці,"набережна Лятошинського, буд. 6 кв. 354, Покровськ, 60682",028 054 71 73,orkhyp40@example.org
Яремків,Альберт,Євгенович,Чоловіча,21-12-1941,Няня,село Бунге,"шосе Баринштейна, буд. 22, Луганськ, 73345",093 380 77 73,dmytrokolesnychenko@example.net
Таран,Аніта,Павлівна,Жіноча,09-10-1983,Фрілансер,село Нікополь,"узвіз Михайла Грушевського, буд. 79, Суми, 23577",079 902 48 88,ydanylenko@example.com
Малик,Лукʼян,Миколайович,Чоловіча,24-04-1981,Мірошник,селище Златопіль,"площа Шостої 1-й, буд. 3 кв. 61, Київ, 85908",084 510-31-27,dutkastanislav@example.net
Петрик,Гаврило,Григорович,Чоловіча,16-03-1983,Футболіст,селище Антрацит,"провулок Кондрашина, буд. 523, Чигирин, 76112",+380 53 304-88-01,okhrim57@example.net
Авдєєнко,Трохим,Миколайович,Чоловіча,06-11-1990,Детектив,хутір Попасна,"сквер Трудовий, буд. 43 кв. 22, Українка, 60388",+380 00 851-29-19,shmorhunhordii@example.org
Чаленко,Єлисавета,Михайлівна,Жіноча,12-09-1967,Золотар,хутір Соледар,"парк Черкаська, буд. 95, Новоселиця, 61855",+380 22 549-63-63,ieroshenkopetro@example.net
Дергач,Спас,Юрійович,Чоловіча,20-01-1976,Бізнесмен,місто Куп'янськ,"вулиця Дружний, буд. 9, Алмазна, 85007",+380 (20) 079-10-23,azarturkalo@example.net
Кальченко,Євген,Тарасович,Чоловіча,19-06-1981,Круп'є,місто Кобеляки,"вулиця Чорноморський 2-й, буд. 2 кв. 87, Судак, 73423",054 140-04-49,rozaliia19@example.com
Гупало,Вікторія,Олегівна,Жіноча,30-10-1996,Намотувальник,село Ківерці,"узвіз Михайла Слабченка, буд. 828, Болград, 24595",+380 05 694 83 30,atamaniukieva@example.com
Рябченко,Леонід,Тарасович,Чоловіча,06-04-1950,Електрослюсар,селище Комарно,"площа Лінія 41-ша, буд. 314, Таврійськ, 17988",+380 (24) 995-33-61,andriienkodan@example.net
Андрієнко,Амвросій,Євгенович,Чоловіча,28-03-1969,Епідеміолог,село Селидове,"площа Слави, буд. 4 кв. 28, Стрий, 13244",+380 47 091 15 54,zavramchuk@example.net
Ярош,Пилип,Андрійович,Чоловіча,21-09-2000,Програміст,село Алмазна,"проспект Тупиковий 1-й, буд. 239, Славутич, 82633",266 32 28,stanislav61@example.net
Тесленко,Соломія,Дмитрівна,Жіноча,16-06-1954,Електрик,село Винники,"площа Моторний 2-й, буд. 44 кв. 4, Радомишль, 50161",+380 98 890-22-87,veresiaryna@example.net
Конопля,Пріска,Романівна,Жіноча,04-12-1958,Бібліограф,хутір Тростянець,"парк Лазурний 5-й, буд. 835 кв. 61, Алчевськ, 14813",+380 (22) 245-78-00,tiemets@example.org
Терещенко,Роксолана,Романівна,Жіноча,22-12-1959,Перекладач,село Кобеляки,"площа Гайова, буд. 9 кв. 73, Новий Розділ, 58308",042 862 50 34,kovalenkozynovii@example.org
Гаврилишина,Августин,Степанович,Чоловіча,15-01-1943,Перекладач,село Решетилівка,"шосе Проектна 2-га, буд. 873 кв. 44, Синельникове, 42716",789-51-95,ielysaveta58@example.org
Кармалюк,Лілія,Петрівна,Жіноча,26-01-1963,Агроном,місто Старобільськ,"набережна Нескучна, буд. 9, Зміїв, 63216",+380 79 245-65-97,bakumenkostepan@example.org
Макаренко,Руслан,Євгенович,Чоловіча,23-03-1974,Перекладач,місто Південне,"вулиця Болгарська, буд. 40, Новояворівськ, 85501",+380 58 908-43-66,lizaartemenko@example.com
Макогон,Данило,Володимирович,Чоловіча,08-08-1945,Біолог,місто Марганець,"набережна Лиманчик 2-й Лінія 9-та, буд. 513 кв. 78, Бар, 74975",070-45-60,dzyndrakhoma@example.net
Рябченко,Опанас,Сергійович,Чоловіча,12-05-1980,Складальник,селище Золочів,"шосе Лузанівська, буд. 071, Кропивницький, 87591",093 518 13 29,pchalenko@example.net
Фаренюк,Володимира,Юріївна,Жіноча,31-08-2005,Візажист,село Заставна,"вулиця Морська, буд. 946, Попасна, 57853",021 731 69 80,tabramenko@example.org
Шиян,Єва,Дмитрівна,Жіноча,18-01-1956,Палеонтолог,село Тернівка,"проспект Студентський 5-й, буд. 89 кв. 6, Ямпіль, 45253",+380 36 017 56 10,hlib31@example.com
Василашко,Єфрем,Тарасович,Чоловіча,12-06-2006,Професор,селище Довжанськ,"проспект Північна, буд. 790 кв. 868, Очаків, 22738",+380 62 622-84-99,ostapchukroksolana@example.org
Даценко,Панас,Борисович,Чоловіча,28-04-2009,Будник,хутір Молочанськ,"узвіз Басейний 1-й, буд. 57, Старий Самбір, 26291",281 22 70,hlib69@example.com
Теличенко,Едуард,Тарасович,Чоловіча,26-02-1966,Адвокат,місто Сміла,"шосе Василя Капніста, буд. 680 кв. 1, Калинівка, 07949",+380 37 381-41-72,trokhym43@example.net
Шинкаренко,Алла,Дмитрівна,Жіноча,07-08-1967,Бізнесмен,хутір Новоазовськ,"площа Глухівський, буд. 0, Гребінка, 36523",+380 64 675-58-81,esvystun@example.org
Нестеренко,Пилип,Романович,Чоловіча,16-06-1982,Різноробочий,місто Бунге,"шосе 11-та ст. Великого Фонтану пляж, буд. 21, Дубно, 13397",053 946-50-09,ebabiichuk@example.com
Бандура,Роман,Олександрович,Чоловіча,25-11-1972,Дипломат,місто Корюківка,"парк Волова, буд. 621 кв. 8, Отаманівка, 87517",282 77 67,velychkonadiia@example.org
Приходько,Богдан,Павлович,Чоловіча,30-01-1994,Електрослюсар,місто Миколаїв,"узвіз Василя Стуса, буд. 6, Ворожба, 36366",271-17-56,mykolai60@example.com
Гузій,Роксолана,Андріївна,Жіноча,25-07-2002,Різноробочий,хутір Маріуполь,"провулок Ялинковий, буд. 878 кв. 6, Кремінна, 91096",086 678-43-84,pushkaranita@example.org
Семенченко,Миколай,Тарасович,Чоловіча,06-10-1996,Пекар,місто Молочанськ,"вулиця Кобзаря, буд. 989 кв. 7, Устилуг, 31016",048 761 34 91,iustynaieshchenko@example.org
Бабак,Артем,Дмитрович,Чоловіча,29-01-1988,Сантехнік,місто Антрацит,"вулиця Петра Калнишевського, буд. 455, Чоп, 52794",+380 (11) 203-21-13,mariia73@example.net
Рудько,Богданна,Павлівна,Жіноча,27-07-1995,Фрілансер,місто Моршин,"шосе Зарічна, буд. 664 кв. 35, Березне, 86184",+380 (21) 294-74-33,candriievych@example.net
Засядько,Гаврило,Максимович,Чоловіча,21-08-2000,Художник,село Біляївка,"проспект Олександра Білостінного, буд. 12 кв. 4, Амвросіївка, 96197",+380 87 300-75-11,okhrimbaranets@example.com
Сацюк,Ілля,Юрійович,Чоловіча,21-07-1981,Паблік рилейшнз,місто Сокаль,"шосе Прохоровський, буд. 3 кв. 7, Українськ, 17852",092 725-35-50,ostapchuksvitlana@example.com
Яценко,Розалія,Олександрівна,Жіноча,06-03-2009,Провізор,село Вишгород,"парк Офіцерська, буд. 883 кв. 105, Олександрія, 70097",+380 67 074-41-80,zasiadkovalentyn@example.org
Гайдай,Тимофій,Борисович,Чоловіча,20-06-1978,Гінеколог,місто Гайворон,"провулок Лінія 29-та, буд. 25, Горлівка, 56672",029-22-63,vasyl32@example.com
Орлик,Розалія,Василівна,Жіноча,05-01-1990,Хореограф,село Тульчин,"набережна Кутова, буд. 0 кв. 2, Щастя, 88270",725 82 56,thavrylenko@example.com
Цюцюра,Ростислав,Павлович,Чоловіча,30-05-1995,Менеджер,місто Жидачів,"шосе 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 53, Ромни, 05648",257 64 04,ustym84@example.net
Ажажа,Олесь,Павлович,Чоловіча,07-04-1992,Актор,місто Ізмаїл,"шосе Будівельна, буд. 243 кв. 7, Алчевськ, 38067",+380 59 898 24 55,dhavryliuk@example.org
Жарко,Ольга,Юріївна,Жіноча,23-01-2000,Письменник,село Таврійськ,"парк Лиманчик 2-й Лінія 11-та, буд. 6 кв. 9, Ізмаїл, 72471",+380 (62) 516-84-13,sirchenkovarvara@example.net
Дацюк,Ада,Павлівна,Жіноча,01-04-1950,Професор,селище Ворожба,"проспект Авіаційна, буд. 1, Ромни, 42151",075 590-55-30,iosyp72@example.org
Стельмах,Альберт,Андрійович,Чоловіча,29-05-1976,Вчитель,хутір Полтава,"сквер Вапняний 1-й, буд. 458 кв. 8, Тульчин, 96787",790 82 31,stelmakhborys@example.com
Удовенко,Галина,Максимівна,Жіноча,04-04-2002,Антрополог,місто Керч,"площа Клинова, буд. 415, Радивилів, 46164",933-86-98,vlasiukbohodar@example.org
Супруненко,Наталія,Григорівна,Жіноча,09-02-1978,Провізор,хутір Токмак,"узвіз Чернівецький, буд. 19 кв. 696, Голубівка, 28127",+380 91 442-15-04,symon57@example.com
Черінько,Микита,Олександрович,Чоловіча,23-07-1949,Краєзнавець,селище Бершадь,"узвіз Ференца Ліста, буд. 948, Перечин, 47073",033 545 28 68,revairena@example.com
Базилевич,Анжела,Андріївна,Жіноча,12-05-1994,Гірничий інженер,селище Чорнобиль,"сквер Купріна, буд. 92 кв. 004, Білгород-Дністровський, 09890",015 948-14-24,ielysavetalesyk@example.org
Свистун,Аврелій,Юрійович,Чоловіча,13-05-1974,Археолог,селище Яготин,"площа Лютнева, буд. 531, Шпола, 73194",814-60-41,tetianapiatachenko@example.net
Архипенко,Юстим,Максимович,Чоловіча,02-10-1977,Мистецтвознавець,місто Донецьк,"узвіз Верхня, буд. 31 кв. 53, Гірник, 89320",+380 (58) 737-22-91,borys79@example.com
Пустовіт,Надія,Степанівна,Жіноча,15-10-1954,Дерун,хутір Сарни,"вулиця Менделе Сфоріма, буд. 30 кв. 58, Теребовля, 91002",260 78 60,amaliiazubko@example.org
Матвієнко,Богуслав,Олександрович,Чоловіча,01-06-1987,Пілот,село Ковель,"вулиця Лучиста, буд. 4, Святогірськ, 56149",+380 61 115-47-57,valentyndotsenko@example.net
Черінько,Тереза,Олегівна,Жіноча,09-07-2005,Математик,місто Оріхів,"вулиця Каретний, буд. 612 кв. 154, Бориспіль, 34226",011 123-50-09,varvaraishchenko@example.net
Деркач,Остап,Дмитрович,Чоловіча,10-10-2003,Електрик,місто Устилуг,"набережна Харківська, буд. 0, Світловодськ, 74951",+380 03 285-08-61,vturkalo@example.com
Засуха,Єфрем,Васильович,Чоловіча,06-06-1966,Публіцист,місто Новий Розділ,"парк Петра Болбочана, буд. 41 кв. 74, Боково-Хрустальне, 01638",873-78-34,wderiazhnyi@example.net
Жадан,Едуард,Васильович,Чоловіча,02-06-1942,Прокурор,місто Кременчук,"вулиця Естонська, буд. 2 кв. 09, Білопілля, 31262",+380 (51) 382-63-31,albertcherinko@example.com
Лазаренко,Галина,Олександрівна,Жіноча,07-07-2004,Державний службовець,хутір Умань,"узвіз Лінія 55-та, буд. 83, Калуш, 16815",704-50-29,mykytaartemenko@example.com
Зарудний,Єлисавета,Григорівна,Жіноча,03-05-2009,Фермер,хутір Оріхів,"узвіз Садова 1-ша, буд. 60 кв. 9, Багачеве, 29965",+380 99 654 19 25,shchyrytsiahalyna@example.org
Ажажа,Феофан,Григорович,Чоловіча,02-12-1998,Клавішник,село Волочиськ,"провулок Надії Пучковської, буд. 394 кв. 7, Мостиська, 36377",+380 19 575 12 62,kabaliukoryna@example.net
Назаренко,Михайлина,Борисівна,Жіноча,10-10-1991,Бібліотекар,хутір Покровськ,"набережна Майка Йогансена, буд. 69 кв. 732, Бердянськ, 39311",+380 (90) 436-96-34,fdotsenko@example.com
Скиба,Леонтій,Степанович,Чоловіча,26-05-1964,Палеонтолог,село Південне,"узвіз Яружний, буд. 06 кв. 5, Вараш, 48863",+380 33 316-56-01,khrystyna21@example.com
Дрозд,Петро,Володимирович,Чоловіча,05-06-1948,Науковець,місто Прип'ять,"узвіз Чорноморський 12-й, буд. 52 кв. 643, Нікополь, 96102",+380 (67) 301-09-23,mykhaliukvarfolomii@example.com
Рудик,Богданна,Сергіївна,Жіноча,06-01-1975,Кінокритик,селище Щастя,"парк Аеропортівський 3-й, буд. 73 кв. 08, Овруч, 71717",+380 07 081-46-84,olehieroshenko@example.com
Власенко,Володимира,Олександрівна,Жіноча,25-09-1959,Стоматолог,хутір Городок,"проспект Казковий, буд. 203, Нова Каховка, 59944",+380 65 414-82-12,mykhailyna82@example.com
Гуцуляк,Марко,Степанович,Чоловіча,20-06-1965,Археолог,місто Пустомити,"провулок Республіканська, буд. 2, Татарбунари, 57556",493-84-87,vasylyna38@example.net
Наливайко,Тарас,Дмитрович,Чоловіча,02-11-1938,Графік,село Новгород-Сіверський,"сквер Архітектурна, буд. 06 кв. 270, Радехів, 80412",+380 15 343-75-26,khrystynazaporozhets@example.org
Матяш,Пилип,Іванович,Чоловіча,24-09-1949,М'ясник,село Маріуполь,"провулок Совіньйонівський, буд. 33, Бар, 56228",462-63-11,mpustovit@example.net
Чорновіл,Єфрем,Петрович,Чоловіча,19-05-1955,Правник,селище Вільногірськ,"набережна Олешківська, буд. 2 кв. 29, Семенівка, 76436",+380 72 723-56-25,tiemets@example.com
Дзюба,Камілла,Андріївна,Жіноча,17-11-1980,Медик,хутір Пологи,"проспект 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Апостолове, 25067",+380 45 072 19 49,avrelii36@example.com
Заїка,Спас,Григорович,Чоловіча,22-10-1981,Режисер,село Кремінна,"площа Танфільєва, буд. 7 кв. 78, Шумськ, 72162",417 26 87,nlubenets@example.org
Овчаренко,Олена,Тарасівна,Жіноча,02-04-1944,Професор,село Кагарлик,"сквер Пересипська 5-та, буд. 43 кв. 429, Чорнобиль, 98290",083 850-99-92,vasylyna60@example.com
Тимчук,Ліза,Максимівна,Жіноча,09-03-2001,Правник,село Дубровиця,"парк Дружний, буд. 797, Дніпро, 11699",178 16 89,vadym31@example.net
Бандура,Демʼян,Олегович,Чоловіча,16-09-1963,Бізнесмен,місто Дебальцеве,"проспект Бригадна, буд. 79 кв. 03, Здолбунів, 70784",662-40-63,averchenkoihnat@example.org
Безбородько,Болеслав,Петрович,Чоловіча,14-10-1998,Парфюмер,село Рудки,"проспект Деревообробний 3-й, буд. 959, Батурин, 81598",253-38-76,maksymhaida@example.net
Яременко,Аврелій,Петрович,Чоловіча,15-07-1959,Мікробіолог,селище Олександрівськ,"узвіз Банний, буд. 900 кв. 06, Берегове, 18802",056 687-13-78,zynovii89@example.com
Гунько,Борис,Андрійович,Чоловіча,17-10-1972,Композитор,селище Угнів,"парк Адміральський, буд. 74, Львів, 63769",036 134-84-80,ksirko@example.org
Закусило,Ярослава,Володимирівна,Жіноча,16-06-1973,Льотчик,місто Кадіївка,"набережна Кустанайський 2-й, буд. 60 кв. 1, Теребовля, 11564",+380 38 147-06-86,iefremdzyndra@example.org
Цюцюра,Пармен,Григорович,Чоловіча,27-07-1939,Антрополог,селище Суходільськ,"площа Селищний, буд. 325, Бердичів, 01199",+380 65 322 41 53,makaralekseienko@example.com
Іщенко,Олег,Михайлович,Чоловіча,25-02-1950,Ботанік,місто Липовець,"проспект Глухий міст, буд. 290, Зеленодольськ, 06566",+380 (33) 426-00-60,iakymenkoavhustyn@example.net
Панчук,Тимофій,Григорович,Чоловіча,16-02-1939,Фермер,селище Білозерське,"узвіз Митна, буд. 4, Мелітополь, 25194",+380 75 991 48 28,volodymyr07@example.org
Баранник,Гордій,Андрійович,Чоловіча,04-06-1940,Етнограф,село Перемишляни,"площа Чорноморський 7-й, буд. 27, Приморськ, 17185",+380 (15) 089-70-78,valentyn98@example.org
Бебешко,Розалія,Олександрівна,Жіноча,14-01-1941,Професор,хутір Глухів,"сквер Дачна, буд. 377, Козятин, 75105",+380 (35) 506-43-38,lesdashkevych@example.org
Джус,Тетяна,Дмитрівна,Жіноча,24-11-1977,Модель,місто Світлодарськ,"набережна Цукровий, буд. 286 кв. 16, Макіївка, 85880",+380 58 171-37-50,riabetsadam@example.net
Романець,Мирон,Андрійович,Чоловіча,25-01-2009,Мовознавець,місто Боково-Хрустальне,"сквер Лютнева, буд. 452 кв. 067, Сновськ, 47117",015 437-65-23,lytvynenkomyroslav@example.com
Джунь,Клавдія,Павлівна,Жіноча,04-02-1949,Літературознавець,село Перещепине,"набережна Лузанівка, буд. 9 кв. 7, Новогродівка, 51330",090 944 76 46,ielyseidakhno@example.org
Демʼянюк,Ігор,Степанович,Чоловіча,26-08-2006,Лікар,місто Новояворівськ,"проспект Дністровська, буд. 3 кв. 35, Лиман, 37901",+380 (52) 941-05-35,arsenychboryslav@example.org
Павленко,Марія,Тарасівна,Жіноча,29-12-1998,Агроном,хутір Пологи,"вулиця Трояндова, буд. 350, Краматорськ, 49138",017 165-96-36,zaichenkovira@example.com
Мамчур,Ірина,Іванівна,Жіноча,08-07-1993,Круп'є,село Боково-Хрустальне,"набережна Андреєвського, буд. 407, Жмеринка, 96936",950-09-68,onufriienkovenedykt@example.net
Іващенко,Людмила,Олександрівна,Жіноча,18-02-1961,Модель,хутір Косів,"провулок Десантний, буд. 179, Здолбунів, 06560",054 387-78-29,leonstets@example.com
Власенко,Марта,Максимівна,Жіноча,04-03-1967,Нотаріус,селище Кропивницький,"вулиця Сашка Хорошенка, буд. 728 кв. 06, Надвірна, 01992",047 97 61,shvachkoklavdiia@example.net
Вдовиченко,Василь,Максимович,Чоловіча,23-02-2000,Хімік,селище Рені,"шосе Рівності, буд. 2 кв. 81, Скалат, 11623",042 44 88,ionishchuk@example.org
Кармалюк,Орест,Олександрович,Чоловіча,09-11-1973,Паралегал,селище Великі Мости,"набережна Рибальська балка, буд. 98, Хоростків, 67957",031 937 68 63,herman32@example.com
Черінько,Кирило,Юрійович,Чоловіча,26-07-1958,Флорист,селище Підгородне,"шосе Віталія Нестеренка, буд. 6, Білицьке, 59572",+380 22 676 69 25,iustyna42@example.com
Забара,Едита,Борисівна,Жіноча,29-09-2004,Інженер,хутір Ясинувата,"набережна Олександра Богомольця, буд. 681, Запоріжжя, 79306",+380 11 856-04-80,riabovilvira@example.org
Цушко,Ростислав,Юрійович,Чоловіча,09-06-2002,Бухгалтер,селище Славутич,"узвіз Саксаганського, буд. 687 кв. 0, Теребовля, 20568",019 75 34,uhavryliuk@example.net
Захарченко,Антон,Романович,Чоловіча,24-06-1990,Актор,місто Березне,"парк Марсельська, буд. 520, Дружківка, 07557",+380 76 630-55-77,bohodar14@example.org
Килимник,Емілія,Романівна,Жіноча,18-05-1999,Музичний редактор,хутір Кременчук,"вулиця Павла Кравцова, буд. 76 кв. 683, Золочів, 04168",970 59 68,edytavyshniak@example.net
Дацюк,Соломія,Романівна,Жіноча,03-10-1964,Журналіст,селище Вуглегірськ,"парк 19-й км Старокиївської дороги, буд. 060, Кремінна, 49917",776-90-64,pusyk@example.net
Усик,Аліна,Михайлівна,Жіноча,08-02-1991,Каскадер,село Галич,"вулиця Онілової, буд. 60 кв. 23, Дебальцеве, 21567",080 01 65,tereza85@example.com
Парасюк,Зиновій,Дмитрович,Чоловіча,18-07-1991,Публіцист,місто Мар'їнка,"парк Радіальний, буд. 46 кв. 4, Шпола, 78415",+380 (94) 331-99-19,jkonoplenko@example.com
Медведенко,Анастасія,Сергіївна,Жіноча,18-07-1987,Няня,селище Білопілля,"проспект Миколи Огренича, буд. 297 кв. 8, Попасна, 92848",+380 99 878-72-65,klavrenko@example.com
Онуфрієнко,Данило,Андрійович,Чоловіча,29-07-1958,Конструктор,хутір Борислав,"сквер Сашка Хорошенка, буд. 6, Бориспіль, 39310",044 287 73 21,sopanasenko@example.net
Пустовіт,Назар,Павлович,Чоловіча,06-11-1970,Електротехнік,селище Липовець,"провулок Моторний 3-й, буд. 276, Саки, 38665",+380 (11) 502-94-46,irenaizhakevych@example.com
Барабаш,Єва,Борисівна,Жіноча,19-03-1968,Локсмайстер,селище Ялта,"проспект Донецька, буд. 7 кв. 44, Лиман, 14552",+380 72 510 43 23,onufriienkoaaron@example.com
Стельмах,Тереза,Романівна,Жіноча,10-11-1999,Письменник,хутір Ворожба,"шосе Краснослобідський, буд. 828, Хрестівка, 87258",537-51-61,demianiukfrants@example.org
Теліженко,Феофан,Дмитрович,Чоловіча,14-06-1999,Математик,село Калинівка,"набережна Промислова, буд. 595 кв. 51, Дунаївці, 09751",+380 21 290 37 25,kostiantynkylymnyk@example.net
Смик,Климент,Романович,Чоловіча,05-05-1977,Головний меркшейдер,селище Ужгород,"провулок Успенський, буд. 6 кв. 506, Сніжне, 39436",062 747 50 97,zorianhaivoronska@example.com
Щербак,Венедикт,Володимирович,Чоловіча,13-01-1952,Пекар,хутір Тернівка,"площа 11-та Лінія Марії Демченко, буд. 46 кв. 732, Карлівка, 56154",010 730 07 37,phrechanyk@example.com
Скирда,Леонід,Михайлович,Чоловіча,07-05-2004,Ботанік,селище Енергодар,"проспект Сухолиманна, буд. 90 кв. 93, Федорівка, 93892",+380 62 461 61 59,pelekhieva@example.net
Гузь,Лесь,Михайлович,Чоловіча,13-11-1950,Бухгалтер,місто Помічна,"узвіз Лінія 36-та, буд. 74 кв. 97, Батурин, 68808",+380 (32) 796-58-02,rpalii@example.org
Свистун,Марина,Петрівна,Жіноча,29-03-1950,Шериф,селище Корець,"вулиця Лиманчик 2-й Лінія 11-та, буд. 83 кв. 93, Макіївка, 46232",037 978-65-58,halyna10@example.net
Тичина,Юстина,Андріївна,Жіноча,01-08-1985,Кіноактор,селище Вараш,"сквер Поштова, буд. 44 кв. 86, Стебник, 96645",621 12 96,khrystynahabelko@example.org
Журавель,Опанас,Григорович,Чоловіча,24-06-2008,Математик,місто Мала Виска,"сквер Харківська, буд. 82 кв. 4, Сквира, 82099",+380 (07) 136-57-09,iosyphavryliv@example.net
Артимович,Богданна,Сергіївна,Жіноча,07-12-2003,Інженер,селище Вільнянськ,"вулиця Фруктова, буд. 40, Шепетівка, 08362",+380 21 811-47-94,afranko@example.org
Андріїшин,Валентина,Василівна,Жіноча,24-12-1950,Антрополог,селище Чигирин,"сквер Угорська, буд. 795, Зіньків, 75605",+380 36 112-50-45,semenchenkopetro@example.com
Хомик,Остап,Григорович,Чоловіча,09-12-1967,Публіцист,село Алчевськ,"шосе Станційна 2-га, буд. 5, Боярка, 05667",+380 (72) 572-20-71,martyn28@example.net
Пелех,Аліна,Євгенівна,Жіноча,16-03-1951,Медик,селище Подільськ,"провулок Івана Луценка, буд. 821 кв. 1, Камінь-Каширський, 19151",050 88 09,ostap96@example.net
Гаврилів,Ірина,Євгенівна,Жіноча,26-11-1999,Сценарист,селище Городок,"шосе Лінія 44-та, буд. 2 кв. 121, Горішні Плавні, 65790",+380 26 405 07 81,panteleimon90@example.org
Луценко,Тереза,Максимівна,Жіноча,21-08-1970,Медик,селище Тячів,"вулиця Академіка Сахарова, буд. 9 кв. 81, Зіньків, 61724",096 344 64 14,xakulenko@example.com
Базилевич,Сергій,Павлович,Чоловіча,26-10-1982,Економіст,село Родинське,"парк Солонцюватий 1-й, буд. 892, Луганськ, 02776",+380 73 194 04 27,mykhailo85@example.org
Смик,Наталія,Миколаївна,Жіноча,15-03-1985,Пекар,місто П'ятихатки,"вулиця Рєпіна, буд. 04 кв. 3, Сватове, 47421",+380 78 542-33-20,valeriiteslenko@example.org
Товстуха,Олександр,Романович,Чоловіча,22-02-1992,Мірошник,хутір Богуслав,"площа Нафтовиків 1-й, буд. 5 кв. 030, Сквира, 20982",+380 84 337-06-28,audovychenko@example.com
Алексеєнко,Лукʼян,Михайлович,Чоловіча,08-02-1962,Прокурор,хутір Лиман,"шосе Водопровідний 1-й, буд. 7 кв. 12, Миргород, 02281",035-29-39,frants11@example.org
Єрошенко,Остап,Олександрович,Чоловіча,25-10-1950,Гірник,село Чернігів,"вулиця Каберне, буд. 100 кв. 762, Галич, 18753",022 020-10-97,artemmykhailychenko@example.com
Зубко,Єва,Павлівна,Жіноча,19-02-1983,Редактор,село Івано-Франківськ,"проспект Професора Каришковського, буд. 002 кв. 47, Рудки, 14521",+380 (80) 152-50-80,garkhymovych@example.net
Годунок,Тетяна,Володимирівна,Жіноча,21-12-1991,Ветеринар,селище Зміїв,"проспект Бахчева, буд. 5 кв. 6, Винники, 60632",+380 (85) 126-61-30,abramenkosolomon@example.org
Габелко,Орест,Володимирович,Чоловіча,11-02-1973,Будник,село Харків,"узвіз Хлібна гавань, буд. 70 кв. 21, Тлумач, 54887",+380 07 767-03-40,mvakarchuk@example.net
Іванченко,Клавдія,Олегівна,Жіноча,12-09-1990,Випробувач,хутір Немирів,"провулок Ламаний, буд. 0, Таврійськ, 01459",+380 25 052 35 49,zhuravelostap@example.org
Цушко,Альбіна,Степанівна,Жіноча,21-12-2005,Прокурор,місто Сіверськ,"вулиця Івана Франка, буд. 9 кв. 123, Лозова, 03233",044 515-42-08,ivan87@example.net
Нестеренко,Марина,Володимирівна,Жіноча,28-09-1973,Гицель,село Багачеве,"вулиця Пілотна, буд. 54 кв. 393, Богодухів, 21336",+380 (16) 654-18-72,babakostap@example.net
Архипенко,Соломон,Юрійович,Чоловіча,10-04-2003,Живописець,село Узин,"вулиця Астрономічний, буд. 9, Радехів, 80803",+380 96 314-31-26,iosypsyrotenko@example.com
Дараган,Богуслава,Романівна,Жіноча,11-10-1995,Продюсер,село Бердянськ,"провулок Волокидіна, буд. 245 кв. 544, Бершадь, 41457",779 84 10,khrystenkoboleslav@example.org
Ляшко,Амалія,Андріївна,Жіноча,17-12-1965,Стиліст,селище Носівка,"узвіз Шевченка парк, буд. 384 кв. 762, Золочів, 57495",327 40 23,izhakillia@example.com
Франчук,Єва,Сергіївна,Жіноча,18-09-2006,Секретар,селище Дубляни,"вулиця Академічний, буд. 53, Новоселиця, 45836",+380 41 315 49 13,edyta02@example.org
Бабʼюк,Ігнат,Степанович,Чоловіча,16-03-1958,Фрілансер,селище Роздільна,"узвіз Український 2-й, буд. 2 кв. 02, Глобине, 19691",+380 28 977-29-12,snizhanamykhaliuk@example.net
Терещенко,Людмила,Сергіївна,Жіноча,18-09-2000,Музичний редактор,село Кременчук,"проспект Академічний, буд. 823 кв. 50, Берислав, 54486",349 30 97,ihor37@example.com
Гаврилишин,Охрім,Юрійович,Чоловіча,05-05-1946,Письменник,селище Старий Самбір,"провулок Удільний, буд. 35, Бібрка, 18864",060-59-23,panteleimon45@example.net
Мазур,Ярина,Борисівна,Жіноча,13-11-1995,Педагог,село Берестечко,"узвіз Офіцерський 2-й, буд. 47, Угнів, 35015",999 86 97,oksanaiurchyshyna@example.com
Франко,Лілія,Дмитрівна,Жіноча,19-12-1982,Професор,місто Білгород-Дністровський,"шосе Елеваторна, буд. 77 кв. 5, Тлумач, 68845",636-59-73,mykytaivanchenko@example.com
Опанасенко,Кирило,Андрійович,Чоловіча,19-08-2007,Антрополог,село Золочів,"шосе Соляна, буд. 3, Луцьк, 15794",+380 (81) 196-10-95,liudmylaaronets@example.com
